[   1/1568] Verify package files        100% |  70.0   B/s |   1.5 KiB |  00m22s
[  63/1568] Installing fdk-aac-0:2.0.3- 100% |  73.3 MiB/s |   1.5 MiB |  00m00s
[  64/1568] Installing libreoffice-data 100% |  38.2 MiB/s |   3.3 MiB |  00m00s
[  65/1568] Installing cups-filesystem- 100% | 445.3 KiB/s |   1.8 KiB |  00m00s
>>> [RPM] group lp does not exist - using root                                  
>>> [RPM] group lp does not exist - using root                                  
[  66/1568] Installing cups-libs-1:2.4. 100% |  46.6 MiB/s | 620.1 KiB |  00m00s
[  67/1568] Installing mpg123-libs-0:1. 100% |  44.3 MiB/s | 816.6 KiB |  00m00s
[  68/1568] Installing hyphen-0:2.8.8-2 100% |   8.0 MiB/s |  57.5 KiB |  00m00s
[  69/1568] Installing libsamplerate-0: 100% |  75.6 MiB/s |   1.4 MiB |  00m00s
[  70/1568] Installing liburing-0:2.9-1 100% |  15.2 MiB/s | 109.1 KiB |  00m00s
[  71/1568] Installing libsigc++30-0:3. 100% |  13.2 MiB/s |  94.9 KiB |  00m00s
[  72/1568] Installing twolame-libs-0:0 100% |  27.1 MiB/s | 166.6 KiB |  00m00s
[  73/1568] Installing libunwind-0:1.8. 100% |  13.8 MiB/s | 197.4 KiB |  00m00s
[  74/1568] Installing gstreamer1-0:1.2 100% |  36.6 MiB/s |   5.3 MiB |  00m00s
[  75/1568] Installing gperftools-libs- 100% |  53.1 MiB/s |   1.4 MiB |  00m00s
[  76/1568] Installing libgfrpc0-0:11.2 100% |  31.0 MiB/s | 222.1 KiB |  00m00s
[  77/1568] Installing libgfxdr0-0:11.2 100% |  12.9 MiB/s |  52.9 KiB |  00m00s
[  78/1568] Installing libglusterfs0-0: 100% |  61.7 MiB/s | 884.9 KiB |  00m00s
[  79/1568] Installing lame-libs-0:3.10 100% |  75.2 MiB/s |   1.2 MiB |  00m00s
[  80/1568] Installing gsm-0:1.0.22-8.f 100% |  11.5 MiB/s |  70.4 KiB |  00m00s
[  81/1568] Installing libsndfile-0:1.2 100% |  49.0 MiB/s | 551.6 KiB |  00m00s
[  82/1568] Installing gsl-0:2.8-1.fc42 100% |  50.2 MiB/s |   3.5 MiB |  00m00s
[  83/1568] Installing boost-system-0:1 100% |   3.2 MiB/s |  13.2 KiB |  00m00s
[  84/1568] Installing boost-thread-0:1 100% |  16.3 MiB/s | 133.7 KiB |  00m00s
[  85/1568] Installing augeas-libs-0:1. 100% |  17.3 MiB/s |   1.2 MiB |  00m00s
[  86/1568] Installing libreport-0:2.17 100% |  32.2 MiB/s |   2.6 MiB |  00m00s
[  87/1568] Installing abrt-libs-0:2.17 100% |  11.7 MiB/s |  72.1 KiB |  00m00s
[  88/1568] Installing libexif-0:0.6.25 100% |  53.4 MiB/s |   2.7 MiB |  00m00s
[  89/1568] Installing geocode-glib-0:3 100% |  17.3 MiB/s | 230.8 KiB |  00m00s
[  90/1568] Installing libgweather-0:4. 100% |  75.4 MiB/s |  22.8 MiB |  00m00s
[  91/1568] Installing libdvdread-0:6.1 100% |  22.6 MiB/s | 161.8 KiB |  00m00s
[  92/1568] Installing xcb-util-keysyms 100% |   4.3 MiB/s |  17.8 KiB |  00m00s
[  93/1568] Installing libtheora-1:1.1. 100% |  36.3 MiB/s | 483.7 KiB |  00m00s
[  94/1568] Installing python3-lxml-0:5 100% |  61.9 MiB/s |   5.0 MiB |  00m00s
[  95/1568] Installing libmwaw-0:0.3.22 100% | 101.7 MiB/s |   7.2 MiB |  00m00s
[  96/1568] Installing libodfgen-0:0.1. 100% |  57.1 MiB/s | 759.5 KiB |  00m00s
[  97/1568] Installing libstaroffice-0: 100% |  80.0 MiB/s |   2.2 MiB |  00m00s
[  98/1568] Installing babl-0:0.1.114-1 100% |  20.4 MiB/s |   2.0 MiB |  00m00s
[  99/1568] Installing gvnc-0:1.5.0-3.f 100% |   5.2 MiB/s | 252.4 KiB |  00m00s
[ 100/1568] Installing jasper-libs-0:4. 100% |  30.8 MiB/s | 347.3 KiB |  00m00s
[ 101/1568] Installing LibRaw-0:0.21.4- 100% |  89.9 MiB/s |   2.3 MiB |  00m00s
[ 102/1568] Installing libarrow-doc-0:1 100% |  37.9 MiB/s | 116.6 KiB |  00m00s
[ 103/1568] Installing openh264-0:2.5.1 100% |  68.5 MiB/s |   1.1 MiB |  00m00s
[ 104/1568] Installing sane-backends-li 100% |  15.1 MiB/s |  92.9 KiB |  00m00s
[ 105/1568] Installing libatomic-0:15.1 100% |   9.2 MiB/s |  37.5 KiB |  00m00s
[ 106/1568] Installing libzip-0:1.11.4- 100% |  22.3 MiB/s | 136.9 KiB |  00m00s
[ 107/1568] Installing libaec-0:1.1.4-1 100% |  10.1 MiB/s |  92.8 KiB |  00m00s
[ 108/1568] Installing hdf5-0:1.14.6-3. 100% |  50.2 MiB/s |   6.4 MiB |  00m00s
[ 109/1568] Installing gssdp-0:1.6.4-1. 100% |  16.1 MiB/s | 148.4 KiB |  00m00s
[ 110/1568] Installing gupnp-0:1.6.9-1. 100% |  27.5 MiB/s | 309.8 KiB |  00m00s
[ 111/1568] Installing xdg-dbus-proxy-0 100% |   2.8 MiB/s |  96.1 KiB |  00m00s
[ 112/1568] Installing x265-libs-0:4.1- 100% | 127.3 MiB/s |  16.7 MiB |  00m00s
[ 113/1568] Installing speex-0:1.2.0-19 100% |  18.2 MiB/s | 130.4 KiB |  00m00s
[ 114/1568] Installing libcdio-0:2.1.0- 100% |  10.3 MiB/s | 631.8 KiB |  00m00s
[ 115/1568] Installing apr-0:1.7.5-2.fc 100% |  32.4 MiB/s | 298.2 KiB |  00m00s
[ 116/1568] Installing malcontent-libs- 100% |  16.0 MiB/s | 114.4 KiB |  00m00s
[ 117/1568] Installing woff2-0:1.0.2-22 100% |  13.8 MiB/s | 127.5 KiB |  00m00s
[ 118/1568] Installing soxr-0:0.1.3-18. 100% |  18.9 MiB/s | 193.6 KiB |  00m00s
[ 119/1568] Installing boost-iostreams- 100% |  14.9 MiB/s |  91.6 KiB |  00m00s
[ 120/1568] Installing double-conversio 100% |  13.9 MiB/s |  99.4 KiB |  00m00s
[ 121/1568] Installing pugixml-0:1.14-2 100% |  29.1 MiB/s | 268.1 KiB |  00m00s
[ 122/1568] Installing kde-filesystem-0 100% | 695.1 KiB/s |  54.2 KiB |  00m00s
[ 123/1568] Installing kf5-filesystem-0 100% | 660.9 KiB/s |   3.3 KiB |  00m00s
[ 124/1568] Installing libglvnd-1:1.7.0 100% |  64.9 MiB/s | 531.6 KiB |  00m00s
[ 125/1568] Installing libglvnd-opengl- 100% |  29.2 MiB/s | 149.6 KiB |  00m00s
[ 126/1568] Installing libwmf-lite-0:0. 100% |  25.6 MiB/s | 157.1 KiB |  00m00s
[ 127/1568] Installing libgusb-0:0.4.9- 100% |  17.8 MiB/s | 163.7 KiB |  00m00s
[ 128/1568] Installing colord-libs-0:1. 100% |  43.9 MiB/s | 853.7 KiB |  00m00s
[ 129/1568] Installing libical-0:3.0.20 100% |  58.7 MiB/s |   1.6 MiB |  00m00s
[ 130/1568] Installing gcr3-base-0:3.41 100% |  55.6 MiB/s | 796.5 KiB |  00m00s
[ 131/1568] Installing libical-glib-0:3 100% |  97.4 MiB/s |   1.8 MiB |  00m00s
[ 132/1568] Installing mesa-libGLU-0:9. 100% |  44.3 MiB/s | 362.6 KiB |  00m00s
[ 133/1568] Installing apr-util-0:1.6.3 100% |  26.6 MiB/s | 218.0 KiB |  00m00s
[ 134/1568] Installing glibmm2.68-0:2.8 100% |  89.3 MiB/s |   3.2 MiB |  00m00s
[ 135/1568] Installing libimobiledevice 100% |   3.6 MiB/s | 124.4 KiB |  00m00s
[ 136/1568] Installing libxkbcommon-x11 100% |   8.9 MiB/s |  36.4 KiB |  00m00s
[ 137/1568] Installing xcb-util-renderu 100% |   5.0 MiB/s |  25.8 KiB |  00m00s
[ 138/1568] Installing opensubdiv-0:3.6 100% |  80.5 MiB/s |   1.8 MiB |  00m00s
[ 139/1568] Installing libxml++-0:2.42. 100% |  36.9 MiB/s | 302.5 KiB |  00m00s
[ 140/1568] Installing opusfile-0:0.12- 100% |  12.6 MiB/s | 103.5 KiB |  00m00s
[ 141/1568] Installing raptor2-0:2.0.15 100% |  13.5 MiB/s | 566.2 KiB |  00m00s
[ 142/1568] Installing ibus-libs-0:1.5. 100% |  69.8 MiB/s | 857.2 KiB |  00m00s
[ 143/1568] Installing libcdr-0:0.1.8-2 100% |  56.8 MiB/s | 872.1 KiB |  00m00s
[ 144/1568] Installing libvisio-0:0.1.8 100% |  50.7 MiB/s | 674.4 KiB |  00m00s
[ 145/1568] Installing google-noto-sans 100% |  61.0 MiB/s | 562.2 KiB |  00m00s
[ 146/1568] Installing google-noto-seri 100% |  88.3 MiB/s |   1.6 MiB |  00m00s
[ 147/1568] Installing google-noto-sans 100% |  38.6 MiB/s | 276.8 KiB |  00m00s
[ 148/1568] Installing fedora-logos-0:4 100% |  27.1 MiB/s |   1.7 MiB |  00m00s
[ 149/1568] Installing daxctl-libs-0:82 100% |  12.3 MiB/s |  88.4 KiB |  00m00s
[ 150/1568] Installing gnome-control-ce 100% | 277.3 KiB/s | 568.0   B |  00m00s
[ 151/1568] Installing librdmacm-0:55.0 100% |  14.1 MiB/s | 144.0 KiB |  00m00s
[ 152/1568] Installing spirv-tools-libs 100% |  98.0 MiB/s |   5.8 MiB |  00m00s
[ 153/1568] Installing libshaderc-0:202 100% |  99.5 MiB/s |   3.6 MiB |  00m00s
[ 154/1568] Installing libvpx-0:1.15.0- 100% |  93.0 MiB/s |   3.3 MiB |  00m00s
[ 155/1568] Installing git-core-0:2.50. 100% |  88.1 MiB/s |  23.5 MiB |  00m00s
[ 156/1568] Installing openblas-0:0.3.2 100% |  18.5 MiB/s | 113.5 KiB |  00m00s
[ 157/1568] Installing geos-0:3.13.0-2. 100% |  54.6 MiB/s |   3.9 MiB |  00m00s
[ 158/1568] Installing libvpl-1:2.15.0- 100% |  29.9 MiB/s | 428.5 KiB |  00m00s
[ 159/1568] Installing libevdev-0:1.13. 100% |  13.5 MiB/s |  83.1 KiB |  00m00s
[ 160/1568] Installing python3-libselin 100% |  37.3 MiB/s | 610.4 KiB |  00m00s
[ 161/1568] Installing protobuf-0:3.19. 100% |  90.4 MiB/s |   3.3 MiB |  00m00s
[ 162/1568] Installing blosc-0:1.21.6-6 100% |  14.0 MiB/s | 129.0 KiB |  00m00s
[ 163/1568] Installing openvdb-libs-0:1 100% | 143.4 MiB/s |  30.4 MiB |  00m00s
[ 164/1568] Installing libdeflate-0:1.2 100% |  24.3 MiB/s | 124.4 KiB |  00m00s
[ 165/1568] Installing openexr-libs-0:3 100% | 103.7 MiB/s |   6.5 MiB |  00m00s
[ 166/1568] Installing x264-libs-0:0.16 100% |  98.1 MiB/s |   2.7 MiB |  00m00s
[ 167/1568] Installing liblc3-0:1.1.3-1 100% |  33.6 MiB/s | 171.8 KiB |  00m00s
[ 168/1568] Installing rest-0:0.9.1-12. 100% |  17.5 MiB/s | 196.9 KiB |  00m00s
[ 169/1568] Installing accountsservice- 100% |   3.9 MiB/s | 391.0 KiB |  00m00s
>>> Running %post scriptlet: accountsservice-0:23.13.9-8.fc42.x86_64            
>>> Finished %post scriptlet: accountsservice-0:23.13.9-8.fc42.x86_64           
>>> Scriptlet output:                                                           
>>> Created symlink '/etc/systemd/system/graphical.target.wants/accounts-daemon.
>>>                                                                             
[ 170/1568] Installing accountsservice- 100% |  23.2 MiB/s | 213.4 KiB |  00m00s
[ 171/1568] Installing libsoup-0:2.74.3 100% |  12.7 MiB/s |   1.2 MiB |  00m00s
[ 172/1568] Installing serd-0:0.32.4-1. 100% |   2.1 MiB/s | 137.2 KiB |  00m00s
[ 173/1568] Installing wavpack-0:5.8.1- 100% |   7.3 MiB/s | 582.1 KiB |  00m00s
[ 174/1568] Installing openexr2-libs-0: 100% |  47.7 MiB/s |   4.3 MiB |  00m00s
[ 175/1568] Installing rav1e-libs-0:0.7 100% |  52.9 MiB/s |   3.0 MiB |  00m00s
