[   1/1568] Verify package files        100% |  70.0   B/s |   1.5 KiB |  00m22s
[ 263/1568] Installing gupnp-av-0:0.14. 100% |  35.2 MiB/s | 360.6 KiB |  00m00s
[ 264/1568] Installing pcre2-utf16-0:10 100% |  76.6 MiB/s | 627.1 KiB |  00m00s
[ 265/1568] Installing tcl8-1:8.6.15-10 100% |  25.4 MiB/s |   4.3 MiB |  00m00s
[ 266/1568] Installing python3-audit-0: 100% |  46.9 MiB/s | 288.2 KiB |  00m00s
[ 267/1568] Installing vid.stab-0:1.1.1 100% |  18.2 MiB/s |  93.4 KiB |  00m00s
[ 268/1568] Installing liblqr-1-0:0.4.2 100% |  25.0 MiB/s | 102.6 KiB |  00m00s
[ 269/1568] Installing liblerc-0:4.0.0- 100% |  69.2 MiB/s | 637.6 KiB |  00m00s
[ 270/1568] Installing libtiff-0:4.7.0- 100% |  50.6 MiB/s | 621.3 KiB |  00m00s
[ 271/1568] Installing vigra-0:1.12.1-1 100% |  52.1 MiB/s | 533.1 KiB |  00m00s
[ 272/1568] Installing gdk-pixbuf2-modu 100% |  15.8 MiB/s |  64.6 KiB |  00m00s
[ 273/1568] Installing python3-argcompl 100% |   7.9 MiB/s | 330.6 KiB |  00m00s
[ 274/1568] Installing libsbc-0:2.0-6.f 100% |  23.1 MiB/s |  94.5 KiB |  00m00s
[ 275/1568] Installing libebur128-0:1.2 100% |   9.9 MiB/s |  40.7 KiB |  00m00s
[ 276/1568] Installing libde265-0:1.0.1 100% |  56.5 MiB/s | 578.9 KiB |  00m00s
[ 277/1568] Installing intel-gmmlib-0:2 100% |  87.8 MiB/s | 809.1 KiB |  00m00s
[ 278/1568] Installing libmysofa-0:1.3. 100% |  13.0 MiB/s |  80.1 KiB |  00m00s
[ 279/1568] Installing libunibreak-0:6. 100% |  27.5 MiB/s | 140.8 KiB |  00m00s
[ 280/1568] Installing srt-libs-0:1.5.4 100% |  75.0 MiB/s | 998.9 KiB |  00m00s
[ 281/1568] Installing libssh2-0:1.11.1 100% |  45.3 MiB/s | 324.4 KiB |  00m00s
[ 282/1568] Installing libmodplug-1:0.8 100% |  38.7 MiB/s | 357.0 KiB |  00m00s
[ 283/1568] Installing libmad-0:0.16.4- 100% |  29.5 MiB/s | 181.0 KiB |  00m00s
[ 284/1568] Installing libkate-0:0.4.1- 100% |  15.8 MiB/s | 129.2 KiB |  00m00s
[ 285/1568] Installing libebml-0:1.4.5- 100% |  31.2 MiB/s | 192.0 KiB |  00m00s
[ 286/1568] Installing game-music-emu-0 100% |  46.4 MiB/s | 332.8 KiB |  00m00s
[ 287/1568] Installing taglib-0:1.13.1- 100% |  73.7 MiB/s |   1.1 MiB |  00m00s
[ 288/1568] Installing opencore-amr-0:0 100% |  34.3 MiB/s | 351.2 KiB |  00m00s
[ 289/1568] Installing webrtc-audio-pro 100% |  65.2 MiB/s |   1.4 MiB |  00m00s
[ 290/1568] Installing libmpeg2-0:0.5.1 100% |  19.2 MiB/s | 177.3 KiB |  00m00s
[ 291/1568] Installing liba52-0:0.7.4-5 100% |  10.7 MiB/s |  87.2 KiB |  00m00s
[ 292/1568] Installing vlc-plugins-base 100% |  20.0 MiB/s |   7.1 MiB |  00m00s
[ 293/1568] Installing net-snmp-libs-1: 100% |  57.8 MiB/s |   3.1 MiB |  00m00s
[ 294/1568] Installing liboauth-0:1.0.3 100% |   8.9 MiB/s |  45.7 KiB |  00m00s
[ 295/1568] Installing libxshmfence-0:1 100% |   3.3 MiB/s |  13.6 KiB |  00m00s
[ 296/1568] Installing libmtp-0:1.1.19- 100% |  49.5 MiB/s | 507.2 KiB |  00m00s
[ 297/1568] Installing libgtop2-0:2.41. 100% |   9.5 MiB/s | 525.6 KiB |  00m00s
[ 298/1568] Installing libieee1284-0:0. 100% |   3.2 MiB/s |  96.0 KiB |  00m00s
[ 299/1568] Installing python3-pyqt5-si 100% |  22.5 MiB/s | 160.9 KiB |  00m00s
[ 300/1568] Installing libimagequant-0: 100% |  68.9 MiB/s | 705.9 KiB |  00m00s
[ 301/1568] Installing zix-0:0.6.2-1.fc 100% |   9.8 MiB/s |  60.1 KiB |  00m00s
[ 302/1568] Installing sord-0:0.16.18-1 100% |   2.9 MiB/s |  88.0 KiB |  00m00s
[ 303/1568] Installing soundtouch-0:2.3 100% |   7.9 MiB/s | 243.5 KiB |  00m00s
[ 304/1568] Installing libid3tag-0:0.16 100% |  19.3 MiB/s | 118.5 KiB |  00m00s
[ 305/1568] Installing python3-pyparsin 100% |  54.5 MiB/s |   1.0 MiB |  00m00s
[ 306/1568] Installing libmypaint-0:1.6 100% |  19.1 MiB/s | 921.6 KiB |  00m00s
[ 307/1568] Installing cfitsio-0:4.6.0- 100% |  93.0 MiB/s |   1.9 MiB |  00m00s
[ 308/1568] Installing libvmaf-0:3.0.0- 100% |  73.5 MiB/s | 828.4 KiB |  00m00s
[ 309/1568] Installing libaom-0:3.12.0- 100% | 124.9 MiB/s |   5.0 MiB |  00m00s
[ 310/1568] Installing ptex-libs-0:2.4. 100% |  56.8 MiB/s | 523.1 KiB |  00m00s
[ 311/1568] Installing libfontenc-0:1.1 100% |   4.4 MiB/s |  72.3 KiB |  00m00s
[ 312/1568] Installing appstream-data-0 100% |  26.8 MiB/s |  15.5 MiB |  00m01s
[ 313/1568] Installing xmlrpc-c-0:1.60. 100% |  26.0 MiB/s | 505.9 KiB |  00m00s
[ 314/1568] Installing dbus-tools-1:1.1 100% |   3.5 MiB/s | 114.2 KiB |  00m00s
[ 315/1568] Installing vpnc-script-0:20 100% |  18.8 MiB/s |  38.6 KiB |  00m00s
[ 316/1568] Installing mobile-broadband 100% |  82.3 MiB/s | 505.4 KiB |  00m00s
[ 317/1568] Installing usbredir-0:0.15. 100% |  17.6 MiB/s | 107.8 KiB |  00m00s
[ 318/1568] Installing libphodav-0:3.0- 100% |   7.1 MiB/s | 145.7 KiB |  00m00s
[ 319/1568] Installing libcacard-3:2.8. 100% |  23.6 MiB/s | 120.6 KiB |  00m00s
[ 320/1568] Installing hunspell-filesys 100% | 378.9 KiB/s | 388.0   B |  00m00s
[ 321/1568] Installing hunspell-en-US-0 100% |  77.9 MiB/s | 558.1 KiB |  00m00s
[ 322/1568] Installing hunspell-0:1.7.2 100% |  19.3 MiB/s |   1.4 MiB |  00m00s
[ 323/1568] Installing enchant2-0:2.8.2 100% |   5.6 MiB/s | 200.1 KiB |  00m00s
[ 324/1568] Installing graphite2-0:1.3. 100% |   6.4 MiB/s | 197.9 KiB |  00m00s
[ 325/1568] Installing harfbuzz-0:10.4. 100% | 101.8 MiB/s |   2.7 MiB |  00m00s
[ 326/1568] Installing freetype-0:2.13. 100% |  64.6 MiB/s | 859.9 KiB |  00m00s
[ 327/1568] Installing harfbuzz-icu-0:1 100% |   5.3 MiB/s |  16.3 KiB |  00m00s
[ 328/1568] Installing libraqm-0:0.10.1 100% |   7.3 MiB/s |  29.7 KiB |  00m00s
[ 329/1568] Installing libgta-0:1.2.1-1 100% |  17.4 MiB/s |  71.5 KiB |  00m00s
[ 330/1568] Installing python3-libxml2- 100% |  85.8 MiB/s |   1.2 MiB |  00m00s
[ 331/1568] Installing initscripts-serv 100% | 254.7 KiB/s |   6.4 KiB |  00m00s
[ 332/1568] Installing emacs-filesystem 100% | 265.6 KiB/s | 544.0   B |  00m00s
[ 333/1568] Installing desktop-file-uti 100% |   6.6 MiB/s | 222.2 KiB |  00m00s
[ 334/1568] Installing xdg-utils-0:1.2. 100% |  10.7 MiB/s | 349.5 KiB |  00m00s
[ 335/1568] Installing libcloudprovider 100% |  15.4 MiB/s | 126.2 KiB |  00m00s
[ 336/1568] Installing xdg-user-dirs-0: 100% |   2.0 MiB/s | 181.6 KiB |  00m00s
>>> Running %post scriptlet: xdg-user-dirs-0:0.18-9.fc42.x86_64                 
>>> Finished %post scriptlet: xdg-user-dirs-0:0.18-9.fc42.x86_64                
>>> Scriptlet output:                                                           
>>> Created symlink '/etc/systemd/user/graphical-session-pre.target.wants/xdg-us
>>>                                                                             
[ 337/1568] Installing libvirt-gconfig- 100% |  41.6 MiB/s | 383.3 KiB |  00m00s
[ 338/1568] Installing OpenThreads-0:3. 100% |  25.6 MiB/s | 209.5 KiB |  00m00s
[ 339/1568] Installing libidn-0:1.42-5. 100% |  11.0 MiB/s | 652.0 KiB |  00m00s
[ 340/1568] Installing mkfontscale-0:1. 100% |   1.3 MiB/s |  46.4 KiB |  00m00s
[ 341/1568] Installing urw-base35-fonts 100% |  25.1 MiB/s |   4.3 MiB |  00m00s
[ 342/1568] Installing libXfont2-0:2.0. 100% |  13.3 MiB/s | 340.2 KiB |  00m00s
[ 343/1568] Installing dbus-daemon-1:1. 100% |   5.1 MiB/s | 457.0 KiB |  00m00s
>>> [RPM] group dbus does not exist - using root                                
[ 344/1568] Installing xmlrpc-c-client- 100% |   8.6 MiB/s |  52.6 KiB |  00m00s
[ 345/1568] Installing libreport-web-0: 100% |   7.4 MiB/s |  53.3 KiB |  00m00s
[ 346/1568] Installing libreport-plugin 100% |   2.1 MiB/s |  77.8 KiB |  00m00s
[ 347/1568] Installing libreport-plugin 100% |   1.1 MiB/s |  40.8 KiB |  00m00s
[ 348/1568] Installing libreport-plugin 100% |   2.5 MiB/s | 100.6 KiB |  00m00s
[ 349/1568] Installing sratom-0:0.6.18- 100% |   7.5 MiB/s |  46.0 KiB |  00m00s
[ 350/1568] Installing lilv-libs-0:0.24 100% |  12.7 MiB/s | 117.0 KiB |  00m00s
[ 351/1568] Installing vlc-cli-1:3.0.21 100% | 842.3 KiB/s |  31.2 KiB |  00m00s
[ 352/1568] Installing vlc-plugin-lua-1 100% |  20.6 MiB/s | 886.7 KiB |  00m00s
[ 353/1568] Installing libmatroska-0:1. 100% |  53.5 MiB/s | 657.1 KiB |  00m00s
[ 354/1568] Installing libspatialaudio- 100% |  60.6 MiB/s |   1.3 MiB |  00m00s
[ 355/1568] Installing enblend-0:4.2-33 100% |  63.8 MiB/s |   5.1 MiB |  00m00s
[ 356/1568] Installing dcmtk-0:3.6.9-2. 100% |  83.1 MiB/s |  40.4 MiB |  00m00s
[ 357/1568] Installing libsane-airscan- 100% |  23.2 MiB/s | 285.7 KiB |  00m00s
[ 358/1568] Installing sane-airscan-0:0 100% |   4.8 MiB/s | 175.8 KiB |  00m00s
[ 359/1568] Installing sane-backends-0: 100% |   3.1 MiB/s |   3.2 MiB |  00m01s
[ 360/1568] Installing leptonica-0:1.85 100% |  88.8 MiB/s |   3.0 MiB |  00m00s
[ 361/1568] Installing tesseract-libs-0 100% |  94.3 MiB/s |   3.3 MiB |  00m00s
[ 362/1568] Installing libkml-0:1.3.0-5 100% |  48.5 MiB/s |   1.2 MiB |  00m00s
[ 363/1568] Installing rocm-lld-0:18-37 100% |  38.6 MiB/s |   6.5 MiB |  00m00s
[ 364/1568] Installing rocm-llvm-0:18-3 100% |  40.0 MiB/s |  79.3 MiB |  00m02s
[ 365/1568] Installing rocm-llvm-devel- 100% |  27.6 MiB/s |  24.7 MiB |  00m01s
[ 366/1568] Installing rocm-llvm-static 100% |  49.0 MiB/s | 233.9 MiB |  00m05s
[ 367/1568] Installing rocm-libc++-deve 100% |  20.4 MiB/s |   7.2 MiB |  00m00s
[ 368/1568] Installing adobe-mappings-c 100% |  47.6 MiB/s | 585.2 KiB |  00m00s
[ 369/1568] Installing libphonenumber-0 100% | 108.2 MiB/s |   6.5 MiB |  00m00s
[ 370/1568] Installing re2-1:20240702-2 100% |  42.6 MiB/s | 567.4 KiB |  00m00s
[ 371/1568] Installing bluez-obexd-0:5. 100% |  11.1 MiB/s | 351.9 KiB |  00m00s
>>> Running %post scriptlet: bluez-obexd-0:5.83-2.fc42.x86_64                   
>>> Finished %post scriptlet: bluez-obexd-0:5.83-2.fc42.x86_64                  
>>> Scriptlet output:                                                           
>>> Created symlink '/etc/systemd/user/dbus-org.bluez.obex.service' 
>>>                                                                             
[ 372/1568] Installing clucene-contribs 100% |  39.8 MiB/s | 325.8 KiB |  00m00s
[ 373/1568] Installing mythes-en-0:3.0- 100% | 132.1 MiB/s |  20.7 MiB |  00m00s
[ 374/1568] Installing gutenprint-0:5.3 100% |  87.2 MiB/s |  29.1 MiB |  00m00s
[ 375/1568] Installing swtpm-libs-0:0.1 100% |  13.1 MiB/s | 133.8 KiB |  00m00s
[ 376/1568] Installing libiec61883-0:1. 100% |  14.9 MiB/s |  91.5 KiB |  00m00s
[ 377/1568] Installing default-fonts-he 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 378/1568] Installing default-fonts-yi 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 379/1568] Installing default-fonts-as 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 380/1568] Installing default-fonts-bn 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 381/1568] Installing xcb-util-cursor- 100% |   4.0 MiB/s |  24.6 KiB |  00m00s
[ 382/1568] Installing boost-locale-0:1 100% |  50.0 MiB/s | 614.8 KiB |  00m00s
[ 383/1568] Installing netcdf-0:4.9.2-1 100% |  33.1 MiB/s |   2.4 MiB |  00m00s
[ 384/1568] Installing dleyna-connector 100% | 196.8 KiB/s |  21.4 KiB |  00m00s
[ 385/1568] Installing python3-hawkey-0 100% |  29.0 MiB/s | 297.0 KiB |  00m00s
[ 386/1568] Installing libpskc-0:2.6.12 100% |  12.3 MiB/s |  88.5 KiB |  00m00s
[ 387/1568] Installing hypervfcopyd-0:6 100% | 492.1 KiB/s |  21.2 KiB |  00m00s
[ 388/1568] Installing hypervkvpd-0:6.1 100% | 824.4 KiB/s |  37.9 KiB |  00m00s
[ 389/1568] Installing hypervvssd-0:6.1 100% | 475.7 KiB/s |  20.9 KiB |  00m00s
[ 390/1568] Installing bcd-0:1.1-16.201 100% |  26.2 MiB/s | 348.6 KiB |  00m00s
[ 391/1568] Installing liborc2-0:2.0.5- 100% |  75.6 MiB/s |   1.7 MiB |  00m00s
[ 392/1568] Installing python3-libseman 100% |  46.8 MiB/s | 383.6 KiB |  00m00s
[ 393/1568] Installing librttopo-0:1.1. 100% |  49.5 MiB/s | 506.5 KiB |  00m00s
[ 394/1568] Installing openblas-openmp- 100% | 148.7 MiB/s |  43.7 MiB |  00m00s
[ 395/1568] Installing flexiblas-0:3.4. 100% |  16.8 MiB/s |  51.6 KiB |  00m00s
[ 396/1568] Installing flexiblas-openbl 100% |   9.8 MiB/s |  40.1 KiB |  00m00s
[ 397/1568] Installing flexiblas-netlib 100% |  82.2 MiB/s |  10.9 MiB |  00m00s
[ 398/1568] Installing python3-numpy-f2 100% |  17.5 MiB/s |   2.1 MiB |  00m00s
[ 399/1568] Installing python3-numpy-1: 100% |  55.9 MiB/s |  40.6 MiB |  00m01s
[ 400/1568] Installing python3-contourp 100% |  36.2 MiB/s | 851.6 KiB |  00m00s
[ 401/1568] Installing suitesparse-0:7. 100% | 134.6 MiB/s |  45.5 MiB |  00m00s
[ 402/1568] Installing libpano13-0:2.9. 100% |  51.0 MiB/s | 731.2 KiB |  00m00s
[ 403/1568] Installing openblas-serial- 100% | 176.8 MiB/s |  41.5 MiB |  00m00s
[ 404/1568] Installing openblas-openmp6 100% | 182.7 MiB/s |  43.9 MiB |  00m00s
[ 405/1568] Installing flexiblas-netlib 100% |  99.3 MiB/s |  11.0 MiB |  00m00s
[ 406/1568] Installing flexiblas-openbl 100% |   9.8 MiB/s |  40.1 KiB |  00m00s
[ 407/1568] Installing arpack-0:3.9.1-6 100% |  52.7 MiB/s | 648.1 KiB |  00m00s
[ 408/1568] Installing armadillo-0:12.8 100% |  16.4 MiB/s |  83.8 KiB |  00m00s
[ 409/1568] Installing git-lfs-0:3.6.1- 100% |  65.8 MiB/s |  12.0 MiB |  00m00s
>>> Running %post scriptlet: git-lfs-0:3.6.1-1.fc42.x86_64                      
>>> Finished %post scriptlet: git-lfs-0:3.6.1-1.fc42.x86_64                     
>>> Scriptlet output:                                                           
>>> Git LFS initialized.                                                        
>>>                                                                             
[ 410/1568] Installing git-core-doc-0:2 100% |  50.2 MiB/s |  17.9 MiB |  00m00s
[ 411/1568] Installing ndctl-libs-0:82- 100% |  15.3 MiB/s | 219.2 KiB |  00m00s
[ 412/1568] Installing libpmem-0:2.1.0- 100% |   3.2 MiB/s | 419.4 KiB |  00m00s
[ 413/1568] Installing breeze-icon-them 100% |   5.5 MiB/s |  33.8 MiB |  00m06s
[ 414/1568] Installing kde-settings-0:4 100% |   3.5 MiB/s |  79.3 KiB |  00m00s
[ 415/1568] Installing default-fonts-hi 100% | 210.9 KiB/s | 648.0   B |  00m00s
[ 416/1568] Installing default-fonts-ma 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 417/1568] Installing default-fonts-mr 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 418/1568] Installing rasqal-0:0.9.33- 100% |  18.4 MiB/s | 865.6 KiB |  00m00s
[ 419/1568] Installing redland-0:1.0.17 100% |  10.6 MiB/s | 511.4 KiB |  00m00s
[ 420/1568] Installing libusbmuxd-0:2.1 100% |  10.7 MiB/s |  76.8 KiB |  00m00s
[ 421/1568] Installing libimobiledevice 100% |  24.9 MiB/s | 306.3 KiB |  00m00s
[ 422/1568] Installing upower-0:1.90.9- 100% |   2.2 MiB/s | 281.0 KiB |  00m00s
>>> Running %post scriptlet: upower-0:1.90.9-4.fc42.x86_64                      
>>> Finished %post scriptlet: upower-0:1.90.9-4.fc42.x86_64                     
>>> Scriptlet output:                                                           
>>> Created symlink '/etc/systemd/system/graphical.target.wants/upower.service' 
>>>                                                                             
>>> Running sysusers scriptlet: usbmuxd-0:1.1.1^20240915git0b1b233-4.fc42.x86_64
>>> Finished sysusers scriptlet: usbmuxd-0:1.1.1^20240915git0b1b233-4.fc42.x86_6
>>> Scriptlet output:                                                           
>>> Failed to connect to audit log, ignoring: Invalid argument                  
>>> Creating group 'usbmuxd' with GID 113.                                      
>>> Creating user 'usbmuxd' (usbmuxd user) with UID 113 and GID 113.            
>>>                                                                             
[ 423/1568] Installing usbmuxd-0:1.1.1^ 100% |   2.3 MiB/s | 151.5 KiB |  00m00s
[ 424/1568] Installing apr-util-lmdb-0: 100% |   3.7 MiB/s |  15.0 KiB |  00m00s
[ 425/1568] Installing httpd-tools-0:2. 100% |   4.4 MiB/s | 202.6 KiB |  00m00s
[ 426/1568] Installing libfprint-0:1.94 100% |  41.1 MiB/s | 841.5 KiB |  00m00s
[ 427/1568] Installing fprintd-0:1.94.5 100% |   9.1 MiB/s | 845.3 KiB |  00m00s
[ 428/1568] Installing flatpak-libs-0:1 100% |  57.7 MiB/s |   1.0 MiB |  00m00s
[ 429/1568] Installing libcddb-0:1.3.2- 100% |   5.9 MiB/s | 217.3 KiB |  00m00s
[ 430/1568] Installing gupnp-igd-0:1.6. 100% |   8.9 MiB/s |  72.5 KiB |  00m00s
[ 431/1568] Installing libnice-0:0.1.22 100% |  11.6 MiB/s | 500.5 KiB |  00m00s
[ 432/1568] Installing javascriptcoregt 100% | 125.2 MiB/s |  28.8 MiB |  00m00s
[ 433/1568] Installing libreport-fedora 100% |  10.8 MiB/s |  55.4 KiB |  00m00s
[ 434/1568] Installing libreport-plugin 100% |   1.4 MiB/s |  49.9 KiB |  00m00s
[ 435/1568] Installing libreport-plugin 100% | 687.3 KiB/s |  22.0 KiB |  00m00s
[ 436/1568] Installing libbs2b-0:3.1.0- 100% |   2.0 MiB/s |  74.4 KiB |  00m00s
[ 437/1568] Installing glusterfs-cli-0: 100% |   5.0 MiB/s | 462.6 KiB |  00m00s
>>> Running sysusers scriptlet: glusterfs-0:11.2-1.fc42.x86_64                  
>>> Finished sysusers scriptlet: glusterfs-0:11.2-1.fc42.x86_64                 
>>> Scriptlet output:                                                           
>>> Failed to connect to audit log, ignoring: Invalid argument                  
>>> Creating group 'gluster' with GID 977.                                      
>>> Creating user 'gluster' (GlusterFS daemons) with UID 977 and GID 977.       
>>>                                                                             
[ 438/1568] Installing glusterfs-0:11.2 100% |  36.5 MiB/s |   2.5 MiB |  00m00s
[ 439/1568] Installing glusterfs-fuse-0 100% |  12.1 MiB/s | 521.0 KiB |  00m00s
[ 440/1568] Installing hyphen-en-0:2.8. 100% |  17.5 MiB/s | 107.3 KiB |  00m00s
[ 441/1568] Installing libopenmpt-0:0.7 100% |  71.7 MiB/s |   1.6 MiB |  00m00s
[ 442/1568] Installing cups-pk-helper-0 100% |  10.2 MiB/s | 388.1 KiB |  00m00s
[ 443/1568] Installing python3-cups-0:2 100% |  22.1 MiB/s | 226.2 KiB |  00m00s
[ 444/1568] Installing xmlsec1-openssl- 100% |  33.9 MiB/s | 278.0 KiB |  00m00s
[ 445/1568] Installing xmlsec1-nss-1:1. 100% |  28.1 MiB/s | 201.6 KiB |  00m00s
[ 446/1568] Installing schroedinger-0:1 100% |  60.9 MiB/s | 935.8 KiB |  00m00s
[ 447/1568] Installing avahi-gobject-0: 100% |   8.6 MiB/s |  53.0 KiB |  00m00s
[ 448/1568] Installing embree3-0:3.13.5 100% | 116.0 MiB/s |  34.8 MiB |  00m00s
[ 449/1568] Installing openpgl-0:0.7.0- 100% |  78.7 MiB/s |   1.4 MiB |  00m00s
[ 450/1568] Installing openspecfun-0:0. 100% |  23.9 MiB/s | 171.6 KiB |  00m00s
[ 451/1568] Installing python3-satyr-0: 100% |  16.7 MiB/s | 119.5 KiB |  00m00s
[ 452/1568] Installing urw-base35-bookm 100% |  35.9 MiB/s |   1.4 MiB |  00m00s
[ 453/1568] Installing urw-base35-c059- 100% |  49.8 MiB/s |   1.4 MiB |  00m00s
[ 454/1568] Installing urw-base35-d0500 100% |   5.6 MiB/s |  85.4 KiB |  00m00s
[ 455/1568] Installing urw-base35-gothi 100% |  44.7 MiB/s |   1.2 MiB |  00m00s
[ 456/1568] Installing urw-base35-nimbu 100% |  43.8 MiB/s |   1.1 MiB |  00m00s
[ 457/1568] Installing urw-base35-nimbu 100% |  48.8 MiB/s |   1.4 MiB |  00m00s
[ 458/1568] Installing urw-base35-nimbu 100% |  63.0 MiB/s |   2.4 MiB |  00m00s
[ 459/1568] Installing urw-base35-p052- 100% |  30.4 MiB/s |   1.5 MiB |  00m00s
[ 460/1568] Installing urw-base35-stand 100% |   2.8 MiB/s |  66.0 KiB |  00m00s
[ 461/1568] Installing urw-base35-z003- 100% |  14.2 MiB/s | 391.8 KiB |  00m00s
[ 462/1568] Installing urw-base35-fonts 100% |   1.4 MiB/s |   5.6 KiB |  00m00s
[ 463/1568] Installing libopusenc-0:0.2 100% |   5.0 MiB/s |  46.2 KiB |  00m00s
[ 464/1568] Installing opus-tools-0:0.2 100% |   2.4 MiB/s | 169.1 KiB |  00m00s
[ 465/1568] Installing libabw-0:0.1.3-1 100% |  14.1 MiB/s | 275.1 KiB |  00m00s
[ 466/1568] Installing libepubgen-0:0.1 100% |  14.3 MiB/s | 381.9 KiB |  00m00s
[ 467/1568] Installing alsa-ucm-0:1.2.1 100% |   2.9 MiB/s | 735.3 KiB |  00m00s
[ 468/1568] Installing default-fonts-co 100% |   1.1 MiB/s |  18.2 KiB |  00m00s
[ 469/1568] Installing fontconfig-0:2.1 100% | 502.5 KiB/s | 783.9 KiB |  00m02s
[ 470/1568] Installing libass-0:0.17.3- 100% |  31.6 MiB/s | 291.5 KiB |  00m00s
[ 471/1568] Installing podofo0.9-libs-0 100% |  12.6 MiB/s |   1.7 MiB |  00m00s
[ 472/1568] Installing libaribcaption-0 100% |  27.1 MiB/s | 249.9 KiB |  00m00s
[ 473/1568] Installing default-fonts-as 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 474/1568] Installing default-fonts-be 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 475/1568] Installing default-fonts-bg 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 476/1568] Installing default-fonts-br 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 477/1568] Installing default-fonts-dz 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 478/1568] Installing default-fonts-el 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 479/1568] Installing default-fonts-eo 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 480/1568] Installing default-fonts-eu 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 481/1568] Installing default-fonts-ia 100% | 322.3 KiB/s | 660.0   B |  00m00s
[ 482/1568] Installing default-fonts-ka 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 483/1568] Installing default-fonts-ku 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 484/1568] Installing default-fonts-nb 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 485/1568] Installing default-fonts-nn 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 486/1568] Installing default-fonts-nr 100% | 326.2 KiB/s | 668.0   B |  00m00s
[ 487/1568] Installing default-fonts-ns 100% | 326.2 KiB/s | 668.0   B |  00m00s
[ 488/1568] Installing default-fonts-ru 100% | 318.4 KiB/s | 652.0   B |  00m00s
[ 489/1568] Installing default-fonts-ss 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 490/1568] Installing default-fonts-tn 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 491/1568] Installing default-fonts-ts 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 492/1568] Installing default-fonts-uk 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 493/1568] Installing default-fonts-ve 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 494/1568] Installing default-fonts-vi 100% | 320.3 KiB/s | 656.0   B |  00m00s
[ 495/1568] Installing default-fonts-xh 100% | 316.4 KiB/s | 648.0   B |  00m00s
[ 496/1568] Installing default-fonts-zu 100% | 314.5 KiB/s | 644.0   B |  00m00s
[ 497/1568] Installing google-noto-sans 100% |  79.0 MiB/s | 970.1 KiB |  00m00s
[ 498/1568] Installing google-noto-sans 100% |  80.3 MiB/s | 658.2 KiB |  00m00s
[ 499/1568] Installing google-noto-sans 100% |  46.3 MiB/s | 237.1 KiB |  00m00s
[ 500/1568] Installing google-noto-nask 100% |  40.8 MiB/s | 250.7 KiB |  00m00s
[ 501/1568] Installing google-noto-seri 100% |  11.3 MiB/s |  34.8 KiB |  00m00s
[ 502/1568] Installing google-noto-seri 100% |  75.8 MiB/s | 698.5 KiB |  00m00s
[ 503/1568] Installing google-noto-seri 100% |  48.0 MiB/s | 294.9 KiB |  00m00s
[ 504/1568] Installing google-noto-seri 100% |  68.8 MiB/s | 422.8 KiB |  00m00s
[ 505/1568] Installing google-noto-seri 100% |  18.7 MiB/s |  76.5 KiB |  00m00s
[ 506/1568] Installing google-noto-seri 100% |  41.8 MiB/s | 171.3 KiB |  00m00s
[ 507/1568] Installing google-noto-seri 100% |  17.9 MiB/s |  55.0 KiB |  00m00s
[ 508/1568] Installing google-noto-seri 100% |  10.7 MiB/s |  32.9 KiB |  00m00s
[ 509/1568] Installing google-noto-seri 100% |  45.6 MiB/s | 233.3 KiB |  00m00s
[ 510/1568] Installing google-noto-seri 100% |  41.3 MiB/s | 169.0 KiB |  00m00s
[ 511/1568] Installing google-noto-seri 100% |  14.8 MiB/s |  45.5 KiB |  00m00s
[ 512/1568] Installing google-noto-seri 100% |  46.4 MiB/s | 190.0 KiB |  00m00s
[ 513/1568] Installing google-noto-seri 100% |  55.8 MiB/s | 342.6 KiB |  00m00s
[ 514/1568] Installing google-noto-seri 100% |  43.3 MiB/s | 177.4 KiB |  00m00s
[ 515/1568] Installing google-noto-seri 100% |  53.7 MiB/s | 329.9 KiB |  00m00s
[ 516/1568] Installing google-noto-seri 100% |  14.1 MiB/s |  43.2 KiB |  00m00s
[ 517/1568] Installing google-noto-sans 100% |  61.9 MiB/s | 507.2 KiB |  00m00s
